No.001, 다음과 같은 기중기는 무엇을 이용한 것인지 쓰시오., 전자석, 하, 전자석,
No.002, 자석 주위에서는 철 가루가 부드럽게 연결되어 늘어서거나 나침반의 바늘이 자석의 극을 가리킨다. 이런 현상은 자석 주위에 있는  (              ) 때문에 일어난다., 자기장, 하, 자석의 성질,
No.004, 선풍기가 돌아가는 것은 전기 에너지가 운동 에너지로 바뀌는 경우입니다. 이렇게 에너지의 종류가 바뀌는 것을 무엇이라고 하는지 쓰시오., 에너지 전환, 하, 에너지 전환,
No.005, 이 실험에서 사용된 긴 막대와 같이 작은 힘으로 무거운 것을 들어 올릴 때 사용하는 도구를 무엇이라고 하는지 쓰시오., 지레, 하, 지레,
No.006, 이 실험에서 책을 들어 올리는 데 힘이 가장 적게 드는 지점은 어디인지 기호를 쓰시오., 가, 하, 지레,
No.008, 다음 (    ) 안에 공통으로 들어갈 알맞은 말을 쓰시오., 에너지, 하, 에너지의 특징,
No.009, 다음 ㈎와 ㈏에 해당되는 물질을 바르게 짝지은 것은 어느 것입니까?, 3, 하, 철가루와 자기장,
No.010, 다음 ㉢ 과정의 실험 결과에 맞게 (     ) 안에 들어갈 알맞은 말을 쓰시오., 양극, 하, 철가루와 자기장,
No.012, 다음과 같이 자석 주위에 나침반을 놓았을 때 자석의 S극을 가리키는 부분은 나침반 바늘의 어느 쪽인지 기호를 쓰시오., A, 하, 자석의 성질,
No.018, 다음과 같이 만든 전자석을 못핀에 가까이 가져간 후 스위치를 닫으면 못핀은 어떻게 됩니까?, 2, 하, 전자석,
No.019, 다음과 같이 전자석을 만들고 스위치를 닫았더니 클립이 전자석에 달라붙었습니다. 스위치를 열면 어떤 현상이 나타납니까?, 4, 하, 전자석,
No.020, 다음 중 전자석의 극을 알아보기 위해 사용하기에 알맞은 것을 고르시오., 2, 하, 전자석,
No.025, 다음과 같이 막대 자석 주위에 철 가루가 늘어선 모양을 보고 알 수 있는 점은 무엇입니까?, 3, 하, 철가루와 자기장,
No.026, 자석 주위에 철 가루를 뿌리면 자기장에 의해 일정한 모양으로 배열됩니다., 자기장, 하, 자석의 성질,
No.028, 다음 중 일상생활에서 자기장을 이용한 물건이 아닌 것은 어느 것입니까?, 1, 하, 자석의 성질,
No.032, 다음 전자석을 못핀에 가까이 했을 때 붙는 것의 기호를 쓰시오., B, 하, 전자석,
No.035, 다음과 같이 전류가 흐르는 전자석의 ㉠ 부분에 나침반을 가까이 했을 때 나침반 바늘의 N극을 끌어당겼다면 ㉠이 무슨 극인지 쓰시오., S, 하, 전자석,
No.039, 다음의 실험에서 철솜 가루 대신 사용하기에 알맞은 것은 어느 것입니까?, 4, 하, 자석의 성질,
No.041, 이 실험에서 전류를 흘려 줄 때 나타날 결과로 옳은 것을 [보기]에서 골라 기호를 쓰시오., A, 하, 전류와 자기장,
No.044, 다음 [보기] 중 전선에 전류를 흘려보낼 때 일어나는 현상으로 옳지 않은 것을 골라 기호를 쓰시오., C, 하, 전류와 자기장,
No.047, 이 실험에서 전자석에 전류가 흐르는 것을 확인할 수 있는 방법으로 알맞은 것을 고르시오., 4, 하, 전자석,
No.048, 이 실험에서 에나멜선에 전류를 흘려 주면 어떻게 되는지 바르게 설명한 것은 어느 것입니까?, 2, 하, 전자석,
No.051, 다음은 전자석의 세기를 비교하는 방법입니다. (    ) 안의 알맞은 말에 쓰시오., 멀, 하, 전자석,
No.054, 다음 실험 결과 철솜 가루가 가장 많이 모이는 부분을 [보기]에서 골라 기호를 쓰시오., A, 하, 철가루와 자기장,
No.057, 이 실험에서 자석 주위에 철 가루가 늘어서게 하는 눈에 보이지 않는 힘을 무엇이라고 하는지 쓰시오., 자기장, 하, 철가루와 자기장,
No.061, 다음 중 어떤 공간에 자기장이 있는지 없는지를 확인할 때 사용할 수 있는 것을 두 가지 고르시오., 2, 하, 자석의 성질,
No.062, 다음 실험에서 나타나는 현상은 어떤 물체의 주위에서 나타나는 현상과 비슷합니까?, 2, 하, 전류와 자기장,
No.063, 이 실험의 결과를 다음과 같이 정리하였습니다. (   ) 안에 공통으로 들어갈 알맞은 말을 쓰시오., 전류, 하, 전류와 자기장,
No.069, 다음과 같이 못에 에나멜선을 감고 전류를 흐르게 하여 만든 자석을 무엇이라고 하는지 쓰시오., 전자석, 하, 전자석,
No.076, 이 실험 장치를 꾸밀 때 필요한 준비물이 아닌 것은 어느 것입니까?, 2, 하, 철가루와 자기장,
No.078, 이 실험에서 철솜 가루 대신 사용할 수 있는 것은 어느 것입니까?, 3, 하, 철가루와 자기장,
No.079, 다음 중 철 가루가 늘어선 모양을 바르게 설명한 것을 고르시오., 4, 하, 철가루와 자기장,
No.080, 다음 (     ) 안에 알맞은 말을 쓰시오., 자기장, 하, 자기장,
No.090, A~C 중 전자석의 세기가 가장 센 것은 어느 것인지 기호를 쓰시오., C, 하, 전자석,
No.095, 이 실험에서 철솜 가루가 늘어서는 모양을 바르게 설명한 것은 어느 것입니까?, 5, 하, 철가루와 자기장,
No.096, 철 솜 가루가 둥근 막대자석을 중심으로 반원 모양을 그리며 늘어서는 이유는 무엇입니까?, 4, 하, 철가루와 자기장,
No.099, 다음 말굽 자석 위에 투명 아크릴판을 놓고 철 가루를 뿌렸을 때 철 가루가 잘 모이지 않는 곳은 어디인지 기호를 쓰시오., C, 하, 철가루와 자기장,
No.105, 전기 회로에서 전선 주위에 생긴 자기장의 방향을 반대로 하려면 무엇을 바꾸어 주면 됩니까?, 1, 하, 전류와 자기장,
No.108, 다음 중 전자석에 전류를 흘려 주었을 때의 모습은 어느 것인지 쓰시오., B, 하, 전자석,
No.114, 다음 중 전동기를 이용한 기구가 아닌 것은 어느 것입니까?, 4, 하, 간이 전동기,
No.116, 다음과 같이 식용유와 철솜 가루를 투명 플라스틱 병에 넣고 잘 흔든 다음 말굽자석을 병에 대어 보았을 때의 결과로 옳은 것은 어느 것입니까?, 4, 하, 철가루와 자기장,
No.120, 다음은 막대자석 주위에 나침반을 놓은 모습입니다. 막대자석의 ㉠은 무슨 극인지 쓰시오.(     극), N, 하, 자석의 성질,
No.121, 다음은 막대자석 주위에 나침반을 놓은 모습입니다. 막대자석의 ㉡은 무슨 극인지 쓰시오.(     극), S, 하, 자석의 성질,
No.132, 다음 (   ) 안에 들어갈 알맞은 말을 쓰시오., 자기장, 하, 전류와 자기장,
No.138, 다음 중 일을 할 수 있는 능력을 뜻하는 말은 어느 것입니까?, 4, 하, 에너지의 특징,
No.141, 다음에서 공통으로 나타내고 있는 에너지는 무엇인지 쓰시오., 열, 하, 에너지의 특징,
No.143, 다음과 같은 기구와 관계가 깊은 에너지를 쓰시오., 운동, 하, 에너지 전환,
No.144, 다음은 에너지를 절약하는 방법을 설명한 것입니다. (   ) 안의 알맞은 말의 기호를 순서대로 쓰시오., AB, 하, 에너지 절약,
No.147, 다음은 무엇에 대한 설명입니까?, 1, 하, 지레,
No.150, 다음 중 추를 들어 올릴 때 필요한 힘의 크기를 줄여 주는 도르래는 어느 것인지 기호를 쓰시오. (단 추의 무게는 같습니다.), B, 하, 도르래,
No.152, 다음 중 경사면을 사용했을 때 필요한 힘의 크기가 작은 것의 기호를 쓰시오., A, 하, 경사면,
No.155, 다음 중 긴 널빤지와 받침대로 만든 경사면을 이용하여 장난감 자동차를 높은 곳에 두었을 때 나타나는 현상은 어느 것입니까?, 4, 하, 에너지의 특징,
No.158, 종호는 놀이공원에서 다음과 같은 놀이 기구를 타고 놀았습니다. 이 놀이 기구는 어떤 종류의 에너지를 이용한 것입니까?, 4, 하, 에너지의 특징,
No.160, 다음 중 롤러코스터가 처음에 출발하여 위로 올라갔다가 아래로 내려갈 때의 에너지 전환 과정으로 옳은 것은 어느 것입니까?, 5, 하, 에너지 전환,
No.164, 다음 중 지레에서 힘을 주는 부분은 어디입니까?, 1, 하, 지레,
No.167, 다음 중 정교한 작업을 하기 위해 사용하는 도구는 어느 것입니까?, 2, 하, 지레,
No.169, 다음 중 힘의 방향을 바꾸어 주어 편리함이 있는 것은 어느 것입니까?, 3, 하, 도르래,
