No.014, 이 실험에서 전류가 흐르는 방향을 반대로 바꾸면 나침반 바늘은 어느 쪽으로 움직이는지 기호를 쓰시오., B, 상, 전류와 자기장,
No.015, 다음과 같이 전선을 나침반 위에 나침반 바늘과 수직으로 놓은 후 전류를 흐르게 하면 나침반 바늘은 어떻게 됩니까?, B, 상, 전류와 자기장,
No.027, 다음에서 나침반 바늘이 같은 방향으로 움직이는 것끼리 바르게 짝지어진 것은 어느 것입니까?, 3, 상, 전류와 자기장,
No.038, 다음과 같이 식용유와 철솜 가루가 들어 있는 병 주위에 원형 자석을 대어 보았을 때 알 수 있는 점을 [보기]에서 골라 기호를 쓰시오., B, 상, 철가루와 자기장,
No.043, 다음과 같이 나침반과 전선을 장치하고 전류를 흘려 줄 때 나침반 바늘의 N극이 움직이는 방향이 나머지 두 경우와 다른 것은 어느 것인지 기호를 쓰시오., A, 상, 전류와 자기장,
No.052, 다음 [보기] 중 전자석의 세기에 영향을 미치는 요인이 아닌 것을 골라 기호를 쓰시오., C, 상, 전자석,
No.058, 이 실험에서 막대 자석을 시계 방향으로 90° 돌려 놓았을 때 철 가루가 늘어선 모양을 바르게 나타낸 것의 기호를 쓰시오., B, 상, 철가루와 자기장,
No.074, 다음과 같이 간이 전동기를 만들었을 때 에나멜선 고리가 회전하는 경우의 기호를 쓰시오., B, 상, 간이 전동기,
No.082, A~D에 전류를 흘려주었을 때 나침반 바늘이 A와 같은 방향을 가리키는 것을 골라 기호를 쓰시오., D, 상, 전류와 자기장,
No.085, 나침반 바늘의 방향으로 보아 ㉠은 자석의 무슨 극과 같은지 쓰시오.(   극), N, 상, 전류와 자기장,
No.091, D과 F에 알맞은 클립의 개수를 바르게 짝지은 것은 어느 것입니까?, 2, 상, 전자석,
No.093, 다음 중 A~C의 전자석에 대한 예상으로 옳은 것은 어느 것입니까?, 1, 상, 전자석,
No.102, 다음은 나침반 위에 나침반 바늘과 나란하게 전선을 놓아두고 전류를 흘려 주었더니 나침반 바늘이 어느 한쪽으로 움직인 모습입니다. 이와 같은 현상이 나타나는 까닭은 무엇이 만들어지기 때문인지 쓰시오., 자기장, 상, 전류와 자기장,
No.113, 다음 중 전자석의 세기가 가장 센 것은 어느 것입니까?, 2, 상, 전자석,
No.119, 다음 실험에서 철가루가 늘어서는 모양을 보고 알 수 있는 점은 어느 것입니까?, 5, 상, 철가루와 자기장,
No.125, 다음 중 자기장에 대한 설명으로 옳지 않은 것은 어느 것입니까?, 1, 상, 자석의 성질,
No.129, 다음 중 나침반 바늘이 움직이는 방향이 나머지와 다른 하나를 골라 기호를 쓰시오., A, 상, 전류와 자기장,
No.130, 다음 중 전류가 흐르는 전선 주위에 놓은 나침반 바늘이 움직이는 방향에 영향을 주는 것을 고르시오., 4, 상, 전류와 자기장,
No.131, 다음과 같이 전선을 나침반 위에 나침반 바늘과 수직이 되게 놓은 다음. 전기 회로의 스위치를 닫을 때 나침반 바늘의 움직임으로 옳은 것을 [보기]에서 골라 기호를 쓰시오., B, 상, 전류와 자기장,
No.154, 다음 중 생활 속에서 적은 힘으로 무거운 물체를 쉽게 옮기는 방법으로 옳지 않은 것은 어느 것입니까?, 3, 상, 도르래,
No.165, 다음 중 지레에 대한 설명으로 옳지 않은 것은 어느 것입니까?, 4, 상, 지레,
No.171, 다음과 같은 경우에 공통으로 이용되는 것은 무엇입니까?, 2, 상, 경사면,
No.183, 다음 중 지레의 원리를 이용하지 않은 것은 어느 것입니까?, 5, 상, 지레,
No.199, 다음 빈칸 안에 공통으로 들어갈 알맞은 말을 쓰시오., 효율, 상, 에너지의 특징,
No.241, 다음 중 지구의 기온이 올라갈 때와 관계있는 설명으로 옳지 않은 것은 어느 것입니까?, 2, 상, 에너지 절약,
No.245, 다음의 움직 도르래에서 지레의 3요소를 찾아 바르게 짝지은 것은 어느 것입니까?, 5, 상, 도르래,
No.251, 다음 중 생활 속에서 적은 힘으로 무거운 물체를 쉽게 옮기는 방법으로 옳지 않은 것은 어느 것입니까?, 3, 상, 경사면,
